title,category,slug,nco_code,median_pay_monthly,median_pay_annual,num_jobs,outlook_pct,outlook_desc,female_pct,urban_pct,rural_pct,education_summary,wage_sample_size
Market Gardeners and Crop Producers,Agriculture & Fishery,market-gardeners-and-crop-producers,611,7500,90000,28853,-2,Slow Decline,31.8,100.0,0.0,"{""Graduate"": 12.7, ""Technical diploma/certificate"": 9.0, ""Not literate"": 26.1, ""Middle"": 7.2, ""Post graduate with technical degree"": 4.5, ""Higher secondary"": 23.9, ""Secondary"": 15.4, ""Graduate with technical degree"": 0.5, ""Level 13"": 0.7, ""Literate but no formal schooling"": 0.1, ""Primary"": 0.0}",971
Shop Salespersons,Service & Sales,shop-salespersons,522,7500,90000,13757,11,Fast Growth,21.2,100.0,0.0,"{""Technical diploma/certificate"": 18.2, ""Higher secondary"": 25.4, ""Secondary"": 10.2, ""Not literate"": 6.7, ""Graduate"": 17.9, ""Post graduate with technical degree"": 14.4, ""Graduate with technical degree"": 1.5, ""Level 13"": 2.2, ""Middle"": 3.3, ""Primary"": 0.0, ""Literate but no formal schooling"": 0.1}",23
Animal Producers,Agriculture & Fishery,animal-producers,612,6250,75000,7000,-2,Slow Decline,77.6,100.0,0.0,"{""Higher secondary"": 22.4, ""Not literate"": 35.5, ""Technical diploma/certificate"": 5.5, ""Graduate"": 9.1, ""Middle"": 7.6, ""Secondary"": 16.7, ""Post graduate with technical degree"": 2.1, ""Literate but no formal schooling"": 0.2, ""Graduate with technical degree"": 0.4, ""Level 13"": 0.4, ""Below primary"": 0.0, ""Primary"": 0.0}",93
"Car, Van and Motorcycle Drivers",Machine Operators,"car,-van-and-motorcycle-drivers",832,12500,150000,5903,7,Moderate Growth,0.1,100.0,0.0,"{""Not literate"": 5.5, ""Graduate"": 21.5, ""Technical diploma/certificate"": 13.7, ""Post graduate with technical degree"": 4.8, ""Middle"": 3.8, ""Secondary"": 13.2, ""Higher secondary"": 35.6, ""Graduate with technical degree"": 1.5, ""Level 13"": 0.3, ""Literate but no formal schooling"": 0.1, ""Primary"": 0.0}",17
Mixed Crop and Animal Producers,Agriculture & Fishery,mixed-crop-and-animal-producers,613,7500,90000,5524,-2,Slow Decline,50.2,100.0,0.0,"{""Higher secondary"": 21.2, ""Not literate"": 34.0, ""Secondary"": 15.4, ""Middle"": 7.4, ""Technical diploma/certificate"": 7.4, ""Graduate"": 9.8, ""Post graduate with technical degree"": 3.7, ""Level 13"": 0.7, ""Graduate with technical degree"": 0.3, ""Literate but no formal schooling"": 0.1, ""Primary"": 0.0}",71
"Domestic, Hotel and Office Cleaners and Helpers",Elementary,"domestic,-hotel-and-office-cleaners-and-helpers",911,6250,75000,3002,5,Moderate Growth,73.5,100.0,0.0,"{""Not literate"": 31.6, ""Graduate"": 10.3, ""Middle"": 9.4, ""Secondary"": 17.2, ""Post graduate with technical degree"": 1.7, ""Higher secondary"": 23.0, ""Technical diploma/certificate"": 5.9, ""Graduate with technical degree"": 0.5, ""Level 13"": 0.2, ""Literate but no formal schooling"": 0.1, ""Primary"": 0.0}",8
Subsistence Crop Farmers,Agriculture & Fishery,subsistence-crop-farmers,631,7500,90000,2814,-2,Slow Decline,57.7,100.0,0.0,"{""Not literate"": 33.4, ""Technical diploma/certificate"": 7.8, ""Post graduate with technical degree"": 2.8, ""Higher secondary"": 21.0, ""Secondary"": 15.9, ""Graduate"": 11.2, ""Middle"": 6.7, ""Graduate with technical degree"": 0.7, ""Literate but no formal schooling"": 0.1, ""Level 13"": 0.3, ""Primary"": 0.1}",100
Protective Services Workers,Service & Sales,protective-services-workers,541,7500,90000,2576,11,Fast Growth,6.5,100.0,0.0,"{""Graduate"": 18.6, ""Not literate"": 4.4, ""Technical diploma/certificate"": 24.2, ""Higher secondary"": 19.9, ""Post graduate with technical degree"": 20.4, ""Secondary"": 6.2, ""Level 13"": 3.1, ""Middle"": 2.2, ""Graduate with technical degree"": 1.0}",3
Transport and Storage Labourers,Elementary,transport-and-storage-labourers,932,10625,127500,2377,5,Moderate Growth,26.6,100.0,0.0,"{""Higher secondary"": 30.5, ""Graduate"": 17.6, ""Middle"": 4.5, ""Technical diploma/certificate"": 15.4, ""Secondary"": 14.2, ""Post graduate with technical degree"": 4.8, ""Not literate"": 10.5, ""Literate but no formal schooling"": 0.1, ""Graduate with technical degree"": 1.7, ""Level 13"": 0.5, ""Primary"": 0.0}",10
Social Professionals,Professionals,social-professionals,234,7500,90000,2316,18,Very Fast Growth,54.7,100.0,0.0,"{""Technical diploma/certificate"": 15.0, ""Post graduate with technical degree"": 52.5, ""Graduate with technical degree"": 4.6, ""Level 13"": 23.7, ""Graduate"": 3.4, ""Higher secondary"": 0.6, ""Secondary"": 0.2}",1
